Title,Description
Danton,"Danton (1983) is a biography film directed by Andrzej Wajda. Featuring Jean-Claude Carrière, Stanislawa Przybyszewska, Andrzej Wajda, this movie has an IMDb rating of 7.4/10 and a MetaScore of 66.0. With a runtime of 136 minutes, it is rated PG."
Battle in Seattle,"Battle in Seattle (2007) is a action film directed by Stuart Townsend. Featuring André 3000Jennifer, Carpenter Isaach, De Bankolé, this movie has an IMDb rating of 6.6/10 and a MetaScore of 54.0. With a runtime of 98 minutes, it is rated R."
Up Pompeii,"Up Pompeii (1971) is a comedy film directed by Bob Kellett. Featuring Frankie Howerd, Patrick Cargill, Bill Fraser, this movie has an IMDb rating of 6.0/10 and a MetaScore of 66.0. With a runtime of 90 minutes, it is rated R."
Nightwatching,"Nightwatching (2007) is a biography film directed by Peter Greenaway. Featuring Martin Freeman, Emily Holmes, Eva Birthistle, this movie has an IMDb rating of 6.5/10 and a MetaScore of 66.0. With a runtime of 134 minutes, it is rated R."
The Warlords,"The Warlords (2007) is a action film directed by Peter Ho-Sun Chan. Featuring Tin-Nam Chun, Junli Guo, Jiping He, this movie has an IMDb rating of 7.0/10 and a MetaScore of 70.0. With a runtime of 126 minutes, it is rated R."
Inside Deep Throat,"Inside Deep Throat (2005) is a documentary film directed by Fenton Bailey. Featuring Linda Lovelace, Harry Reems, Dennis Hopper, this movie has an IMDb rating of 6.7/10 and a MetaScore of 64.0. With a runtime of 89 minutes, it is rated NC-17."
The Lady,"The Lady (2011) is a biography film directed by Luc Besson. Featuring Michelle Yeoh, David Thewlis, Jonathan Raggett, this movie has an IMDb rating of 7.0/10 and a MetaScore of 43.0. With a runtime of 132 minutes, it is rated R."
Walking with the Enemy,"Walking with the Enemy (2013) is a action film directed by Mark Schmidt. Featuring Jonas Armstrong, Ben Kingsley, Hannah Tointon, this movie has an IMDb rating of 6.5/10 and a MetaScore of 44.0. With a runtime of 124 minutes, it is rated PG-13."
Peterloo,"Peterloo (2018) is a drama film directed by Mike Leigh. Featuring Rory Kinnear, Maxine Peake, Neil Bell, this movie has an IMDb rating of 6.5/10 and a MetaScore of 66.0. With a runtime of 154 minutes, it is rated PG-13."
Start the Revolution Without Me,"Start the Revolution Without Me (1970) is a comedy film directed by Bud Yorkin. Featuring Gene Wilder, Donald Sutherland, Hugh Griffith, this movie has an IMDb rating of 6.4/10 and a MetaScore of 66.0. With a runtime of 90 minutes, it is rated PG."
"Mary, Queen of Scots","Mary, Queen of Scots (1971) is a biography film directed by Charles Jarrott. Featuring Vanessa Redgrave, Glenda Jackson, Patrick Mc, and others, this movie has an IMDb rating of 7.1/10 and a MetaScore of 53.0. With a runtime of 128 minutes, it is rated PG-13."
The Charge of the Light Brigade,"The Charge of the Light Brigade (1968) is a drama film directed by Tony Richardson. Featuring Trevor Howard, Vanessa Redgrave, John Gielgud, this movie has an IMDb rating of 6.6/10 and a MetaScore of 66.0. With a runtime of 139 minutes, it is rated PG-13."
The Conspiracy of Torture,"The Conspiracy of Torture (1969) is a drama film directed by Lucio Fulci. Featuring Lucio Fulci, Roberto Gianviti, this movie has an IMDb rating of 6.6/10 and a MetaScore of 66.0. With a runtime of 84 minutes, it is rated R."
20 Feet from Stardom,"20 Feet from Stardom (2013) is a documentary film directed by Morgan Neville. Featuring Darlene Love, Merry Clayton, Lisa Fischer, this movie has an IMDb rating of 7.4/10 and a MetaScore of 83.0. With a runtime of 91 minutes, it is rated PG-13."
Woodlawn,"Woodlawn (2015) is a biography film directed by Andrew Erwin. Featuring Jon Erwin, Todd Gerelds, Quinton Peeples, this movie has an IMDb rating of 6.4/10 and a MetaScore of 57.0. With a runtime of 123 minutes, it is rated PG."
Alone in Berlin,"Alone in Berlin (2016) is a drama film directed by Vincent Perez. Featuring Hans Fallada, Achim von, Borries Vincent, and others, this movie has an IMDb rating of 6.5/10 and a MetaScore of 52.0. With a runtime of 103 minutes, it is rated R."
The Look of Silence,"The Look of Silence (2014) is a documentary film directed by Joshua Oppenheimer. Featuring Adi Rukun, M.Y., Basrun Volker, and others, this movie has an IMDb rating of 8.3/10 and a MetaScore of 92.0. With a runtime of 103 minutes, it is rated PG-13."
The Long Walk Home,"The Long Walk Home (1990) is a drama film directed by Richard Pearce. Featuring Sissy Spacek, Whoopi Goldberg, Dwight Schultz, this movie has an IMDb rating of 7.3/10 and a MetaScore of 73.0. With a runtime of 97 minutes, it is rated PG."
Labyrinth of Lies,"Labyrinth of Lies (2014) is a drama film directed by Giulio Ricciarelli. Featuring Elisabeth Burghardt, Giulio Ricciarelli, Amelie Syberberg, this movie has an IMDb rating of 7.3/10 and a MetaScore of 62.0. With a runtime of 124 minutes, it is rated R."
Cocaine Cowboys,"Cocaine Cowboys (2006) is a documentary film directed by Billy Corben. Featuring Jon Roberts, Al Sunshine, Sam Burstyn, this movie has an IMDb rating of 7.7/10 and a MetaScore of 59.0. With a runtime of 118 minutes, it is rated R."
The Endurance,"The Endurance (2000) is a documentary film directed by George Butler. Featuring Caroline Alexander, Joseph Dorman, this movie has an IMDb rating of 7.8/10 and a MetaScore of 85.0. With a runtime of 97 minutes, it is rated G."
Yossi & Jagger,"Yossi & Jagger (2002) is a drama film directed by Eytan Fox. Featuring Ohad Knoller, Yehuda Levi, Assi Cohen, this movie has an IMDb rating of 7.1/10 and a MetaScore of 70.0. With a runtime of 65 minutes, it is rated R."
The Emigrants,"The Emigrants (1971) is a drama film directed by Jan Troell. Featuring Max von, Sydow Liv, Ullmann Eddie, and others, this movie has an IMDb rating of 8.0/10 and a MetaScore of 66.0. With a runtime of 151 minutes, it is rated PG."
Walker,"Walker (1987) is a biography film directed by Alex Cox. Featuring Ed Harris, Richard Masur, Rene Auberjonois, this movie has an IMDb rating of 6.6/10 and a MetaScore of 66.0. With a runtime of 94 minutes, it is rated R."
The Sparks Brothers,"The Sparks Brothers (2021) is a documentary film directed by Edgar Wright. Featuring Ron Mael, Russell Mael, Beck, this movie has an IMDb rating of 7.7/10 and a MetaScore of 80.0. With a runtime of 140 minutes, it is rated R."
The White Countess,"The White Countess (2005) is a drama film directed by James Ivory. Featuring Ralph Fiennes, Natasha Richardson, Vanessa Redgrave, this movie has an IMDb rating of 6.5/10 and a MetaScore of 60.0. With a runtime of 135 minutes, it is rated PG-13."
Made in Dagenham,"Made in Dagenham (2010) is a comedy film directed by Nigel Cole. Featuring Sally Hawkins, Bob Hoskins, Andrea Riseborough, this movie has an IMDb rating of 7.1/10 and a MetaScore of 65.0. With a runtime of 113 minutes, it is rated R."
The Thirty Nine Steps,"The Thirty Nine Steps (1978) is a crime film directed by Don Sharp. Featuring Robert Powell, David Warner, Eric Porter, this movie has an IMDb rating of 6.6/10 and a MetaScore of 66.0. With a runtime of 102 minutes, it is rated PG."
Rapa Nui,"Rapa Nui (1994) is a action film directed by Kevin Reynolds. Featuring Kevin Reynolds, Tim Rose, Price, this movie has an IMDb rating of 6.4/10 and a MetaScore of 66.0. With a runtime of 107 minutes, it is rated R."
The Glorias,"The Glorias (2020) is a biography film directed by Julie Taymor. Featuring Julianne Moore, Alicia Vikander, Janelle Monáe, this movie has an IMDb rating of 6.0/10 and a MetaScore of 58.0. With a runtime of 147 minutes, it is rated R."
Backstabbing for Beginners,"Backstabbing for Beginners (2018) is a drama film directed by Per Fly. Featuring Theo James, Ben Kingsley, Belçim Bilgin, this movie has an IMDb rating of 6.3/10 and a MetaScore of 48.0. With a runtime of 108 minutes, it is rated R."
Most Wanted,"Most Wanted (2020) is a crime film directed by Daniel Roby. Featuring Antoine Olivier, Pilon Josh, Hartnett Stephen, and others, this movie has an IMDb rating of 6.2/10 and a MetaScore of 62.0. With a runtime of 125 minutes, it is rated R."
The Story of Adele H,"The Story of Adele H (1975) is a biography film directed by François Truffaut. Featuring François Truffaut, Jean Gruault, Suzanne Schiffman, this movie has an IMDb rating of 7.2/10 and a MetaScore of 66.0. With a runtime of 96 minutes, it is rated PG."
City of Life and Death,"City of Life and Death (2009) is a drama film directed by Chuan Lu. Featuring Ye Liu, Wei Fan, Hideo Nakaizumi, this movie has an IMDb rating of 7.7/10 and a MetaScore of 85.0. With a runtime of 133 minutes, it is rated R."
Passchendaele,"Passchendaele (2008) is a drama film directed by Paul Gross. Featuring Paul Gross, Michael Greyeyes, James Kot, this movie has an IMDb rating of 6.4/10 and a MetaScore of 66.0. With a runtime of 114 minutes, it is rated R."
The Gospel of John,"The Gospel of John (2003) is a biography film directed by Philip Saville. Featuring Henry Ian, Cusick Daniel, Kash Christopher, and others, this movie has an IMDb rating of 7.8/10 and a MetaScore of 52.0. With a runtime of 180 minutes, it is rated PG-13."
The Hiding Place,"The Hiding Place (1975) is a biography film directed by James F. Collier. Featuring Corrie Ten, Boom John, Sherrill Elizabeth, and others, this movie has an IMDb rating of 7.4/10 and a MetaScore of 66.0. With a runtime of 150 minutes, it is rated PG."
The Dish,"The Dish (2000) is a comedy film directed by Rob Sitch. Featuring Santo Cilauro, Tom Gleisner, Jane Kennedy, this movie has an IMDb rating of 7.2/10 and a MetaScore of 74.0. With a runtime of 101 minutes, it is rated PG-13."
United,"United (2011) is a drama film directed by James Strong. Featuring Dean Andrews, Kate Ashfield, Natalie Burt, this movie has an IMDb rating of 7.3/10 and a MetaScore of 66.0. With a runtime of 94 minutes, it is rated PG-13."
Princess Caraboo,"Princess Caraboo (1994) is a comedy film directed by Michael Austin. Featuring Phoebe Cates, Jim Broadbent, Wendy Hughes, this movie has an IMDb rating of 6.0/10 and a MetaScore of 66.0. With a runtime of 97 minutes, it is rated PG."
Memorial Day,"Memorial Day (2012) is a action film directed by Samuel Fischer. Featuring Jeff Traxler, Marc Conklin, this movie has an IMDb rating of 6.1/10 and a MetaScore of 66.0. With a runtime of 104 minutes, it is rated R."
The Sea Wolves,"The Sea Wolves (1980) is a action film directed by Andrew V. McLaglen. Featuring Gregory Peck, Roger Moore, David Niven, this movie has an IMDb rating of 6.3/10 and a MetaScore of 66.0. With a runtime of 120 minutes, it is rated PG."
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Summer of Soul (...Or, When the Revolution Could Not Be Televised) (2021) is a documentary film directed by Questlove. Featuring Dorinda Drake, Barbara, Bland-Acosta Darryl, and others, this movie has an IMDb rating of 8.0/10 and a MetaScore of 96.0. With a runtime of 118 minutes, it is rated PG-13."
Chappaquiddick,"Chappaquiddick (2017) is a biography film directed by John Curran. Featuring Jason Clarke, Kate Mara, Ed Helms, this movie has an IMDb rating of 6.4/10 and a MetaScore of 67.0. With a runtime of 106 minutes, it is rated PG-13."
Bloody Sunday,"Bloody Sunday (2002) is a drama film directed by Paul Greengrass. Featuring James Nesbitt, Tim, Pigott-Smith Nicholas, and others, this movie has an IMDb rating of 7.6/10 and a MetaScore of 90.0. With a runtime of 111 minutes, it is rated R."
Stockholm,"Stockholm (2018) is a biography film directed by Robert Budreau. Featuring Robert Budreau, Daniel Lang, James Luscombe, this movie has an IMDb rating of 6.1/10 and a MetaScore of 54.0. With a runtime of 92 minutes, it is rated R."
Taking Woodstock,"Taking Woodstock (2009) is a biography film directed by Ang Lee. Featuring Demetri Martin, Henry Goodman, Edward Hibbert, this movie has an IMDb rating of 6.7/10 and a MetaScore of 55.0. With a runtime of 120 minutes, it is rated R."
"Farewell, My Queen","Farewell, My Queen (2012) is a drama film directed by Benoît Jacquot. Featuring Laca Seydoux, Diane Kruger, Virginie Ledoyen, this movie has an IMDb rating of 6.2/10 and a MetaScore of 67.0. With a runtime of 100 minutes, it is rated R."
Hearts and Minds,"Hearts and Minds (1974) is a documentary film directed by Peter Davis. Featuring Tin Chan, Chau Diem, Ngo Dinh, and others, this movie has an IMDb rating of 8.2/10 and a MetaScore of 68.0. With a runtime of 112 minutes, it is rated R."
Born Free,"Born Free (1966) is a adventure film directed by James Hill. Featuring Virginia Mc, Kenna Bill, Travers Geoffrey, and others, this movie has an IMDb rating of 7.2/10 and a MetaScore of 66.0. With a runtime of 95 minutes, it is rated PG."
Mayerling,"Mayerling (1968) is a drama film directed by Terence Young. Featuring Claude Anet, Michel Arnold, Denis Cannan, this movie has an IMDb rating of 6.1/10 and a MetaScore of 66.0. With a runtime of 140 minutes, it is rated PG-13."
Into the White,"Into the White (2012) is a action film directed by Petter Næss. Featuring Florian Lukas, David Kross, Lachlan Nieboer, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.0. With a runtime of 104 minutes, it is rated R."
Europa Europa,"Europa Europa (1990) is a drama film directed by Agnieszka Holland. Featuring Solomon Perel, Marco Hofschneider, René Hofschneider, this movie has an IMDb rating of 7.6/10 and a MetaScore of 75.0. With a runtime of 112 minutes, it is rated R."
A United Kingdom,"A United Kingdom (2016) is a biography film directed by Amma Asante. Featuring David Oyelowo, Rosamund Pike, Tom Felton, this movie has an IMDb rating of 6.9/10 and a MetaScore of 65.0. With a runtime of 111 minutes, it is rated PG-13."
Elvis & Nixon,"Elvis & Nixon (2016) is a comedy film directed by Liza Johnson. Featuring Michael Shannon, Kevin Spacey, Alex Pettyfer, this movie has an IMDb rating of 6.4/10 and a MetaScore of 59.0. With a runtime of 86 minutes, it is rated R."
Woman Walks Ahead,"Woman Walks Ahead (2017) is a biography film directed by Susanna White. Featuring Jessica Chastain, Louisa Krause, Boots Southerland, this movie has an IMDb rating of 6.7/10 and a MetaScore of 51.0. With a runtime of 101 minutes, it is rated R."
The Wrecking Crew!,"The Wrecking Crew! (2008) is a documentary film directed by Denny Tedesco. Featuring Brian Wilson, Dick Clark, Cher, this movie has an IMDb rating of 7.7/10 and a MetaScore of 67.0. With a runtime of 101 minutes, it is rated PG."
I Am Not Your Negro,"I Am Not Your Negro (2016) is a documentary film directed by Raoul Peck. Featuring Samuel, L., Jackson James, and others, this movie has an IMDb rating of 7.9/10 and a MetaScore of 95.0. With a runtime of 93 minutes, it is rated PG-13."
Won't You Be My Neighbor?,"Won't You Be My Neighbor? (2018) is a documentary film directed by Morgan Neville. Featuring Fred Rogers, Margaret Whitmer, Tom Junod, this movie has an IMDb rating of 8.3/10 and a MetaScore of 85.0. With a runtime of 95 minutes, it is rated PG-13."
Phoenix,"Phoenix (2014) is a drama film directed by Christian Petzold. Featuring Nina Hoss, Ronald Zehrfeld, Nina Kunzendorf, this movie has an IMDb rating of 7.3/10 and a MetaScore of 89.0. With a runtime of 98 minutes, it is rated PG-13."
King of the Hill,"King of the Hill (1993) is a drama film directed by Steven Soderbergh. Featuring Jesse Bradford, Jeroen KrabbéLisa, Eichhorn, this movie has an IMDb rating of 7.3/10 and a MetaScore of 86.0. With a runtime of 103 minutes, it is rated PG-13."
In This Corner (and Other Corners) of the World,"In This Corner (and Other Corners) of the World (2016) is a animation film directed by Sunao Katabuchi. Featuring Non Ava, Pickard Kenna, Pickard, this movie has an IMDb rating of 7.8/10 and a MetaScore of 73.0. With a runtime of 129 minutes, it is rated PG-13."
For Greater Glory: The True Story of Cristiada,"For Greater Glory: The True Story of Cristiada (2012) is a drama film directed by Dean Wright. Featuring Andy Garcia, Oscar Isaac, Catalina Sandino, and others, this movie has an IMDb rating of 6.5/10 and a MetaScore of 35.0. With a runtime of 145 minutes, it is rated R."
Mountains of the Moon,"Mountains of the Moon (1990) is a adventure film directed by Bob Rafelson. Featuring William Harrison, Bob Rafelson, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.0. With a runtime of 136 minutes, it is rated R."
Enron: The Smartest Guys in the Room,"Enron: The Smartest Guys in the Room (2005) is a documentary film directed by Alex Gibney. Featuring John Beard, Tim Belden, Barbara Boxer, this movie has an IMDb rating of 7.6/10 and a MetaScore of 66.0. With a runtime of 110 minutes, it is rated R."
Paradise Road,"Paradise Road (1997) is a drama film directed by Bruce Beresford. Featuring David Giles, Martin Meader, Bruce Beresford, this movie has an IMDb rating of 6.8/10 and a MetaScore of 48.0. With a runtime of 122 minutes, it is rated R."
Nowhere in Africa,"Nowhere in Africa (2001) is a biography film directed by Caroline Link. Featuring Juliane Köhler, Merab Ninidze, Matthias Habich, this movie has an IMDb rating of 7.5/10 and a MetaScore of 72.0. With a runtime of 141 minutes, it is rated R."
Cromwell,"Cromwell (1970) is a biography film directed by Ken Hughes. Featuring Richard Harris, Alec Guinness, Robert Morley, this movie has an IMDb rating of 7.0/10 and a MetaScore of 66.0. With a runtime of 139 minutes, it is rated G."
Escobar: Paradise Lost,"Escobar: Paradise Lost (2014) is a crime film directed by Andrea Di Stefano. Featuring Andrea Di, Stefano Francesca, Marciano, this movie has an IMDb rating of 6.5/10 and a MetaScore of 56.0. With a runtime of 120 minutes, it is rated R."
Camille Claudel,"Camille Claudel (1988) is a biography film directed by Bruno Nuytten. Featuring Reine-Marie Paris, Bruno Nuytten, Marilyn Goldin, this movie has an IMDb rating of 7.3/10 and a MetaScore of 66.0. With a runtime of 175 minutes, it is rated R."
Rosewood,"Rosewood (1997) is a action film directed by John Singleton. Featuring Jon Voight, Ving Rhames, Don Cheadle, this movie has an IMDb rating of 7.2/10 and a MetaScore of 70.0. With a runtime of 140 minutes, it is rated R."
Frantz,"Frantz (2016) is a drama film directed by François Ozon. Featuring François Ozon, Philippe Piazzo, Ernst Lubitsch, this movie has an IMDb rating of 7.5/10 and a MetaScore of 73.0. With a runtime of 113 minutes, it is rated PG-13."
The Fog of War,"The Fog of War (2003) is a documentary film directed by Errol Morris. Featuring Robert Mc, Namara John, F., and others, this movie has an IMDb rating of 8.1/10 and a MetaScore of 87.0. With a runtime of 107 minutes, it is rated PG-13."
A Mighty Heart,"A Mighty Heart (2007) is a biography film directed by Michael Winterbottom. Featuring Angelina Jolie, Dan Futterman, Irrfan Khan, this movie has an IMDb rating of 6.6/10 and a MetaScore of 74.0. With a runtime of 108 minutes, it is rated R."
Man on Wire,"Man on Wire (2008) is a documentary film directed by James Marsh. Featuring Philippe Petit, Jean François, Heckel, and others, this movie has an IMDb rating of 7.7/10 and a MetaScore of 89.0. With a runtime of 94 minutes, it is rated PG-13."
Burke and Hare,"Burke and Hare (2010) is a comedy film directed by John Landis. Featuring Bill Bailey, Tom Wilkinson, Michael Smiley, this movie has an IMDb rating of 6.1/10 and a MetaScore of 46.0. With a runtime of 91 minutes, it is rated R."
In Dubious Battle,"In Dubious Battle (2016) is a crime film directed by James Franco. Featuring Nat Wolff, James Franco, Vincent, and others, this movie has an IMDb rating of 6.0/10 and a MetaScore of 43.0. With a runtime of 110 minutes, it is rated R."
Restoration,"Restoration (1995) is a biography film directed by Michael Hoffman. Featuring Robert Downey, Jr.Sam Neill, David Thewlis, this movie has an IMDb rating of 6.6/10 and a MetaScore of 66.0. With a runtime of 117 minutes, it is rated R."
The Newton Boys,"The Newton Boys (1998) is a action film directed by Richard Linklater. Featuring Claude Stanush, Richard Linklater, Clark Walker, this movie has an IMDb rating of 6.1/10 and a MetaScore of 57.0. With a runtime of 122 minutes, it is rated PG-13."
The Bang Bang Club,"The Bang Bang Club (2010) is a biography film directed by Steven Silver. Featuring Steven Silver, Greg Marinovich, João Silva, this movie has an IMDb rating of 6.9/10 and a MetaScore of 48.0. With a runtime of 106 minutes, it is rated R."
Rogue Trader,"Rogue Trader (1999) is a crime film directed by James Dearden. Featuring Ewan Mc, Gregor Anna, Friel Cristian, and others, this movie has an IMDb rating of 6.4/10 and a MetaScore of 66.0. With a runtime of 101 minutes, it is rated R."
The Counterfeiters,"The Counterfeiters (2007) is a crime film directed by Stefan Ruzowitzky. Featuring Karl Markovics, August Diehl, Devid Striesow, this movie has an IMDb rating of 7.5/10 and a MetaScore of 78.0. With a runtime of 99 minutes, it is rated R."
Luther,"Luther (2003) is a biography film directed by Eric Till. Featuring Joseph Fiennes, Bruno Ganz, Peter Ustinov, this movie has an IMDb rating of 6.6/10 and a MetaScore of 47.0. With a runtime of 123 minutes, it is rated PG-13."
Wuthering Heights,"Wuthering Heights (1992) is a drama film directed by Peter Kosminsky. Featuring Juliette Binoche, Ralph Fiennes, Janet Mc, and others, this movie has an IMDb rating of 6.6/10 and a MetaScore of 66.0. With a runtime of 105 minutes, it is rated PG."
Nicholas and Alexandra,"Nicholas and Alexandra (1971) is a biography film directed by Franklin J. Schaffner. Featuring Michael Jayston, Janet Suzman, Roderic Noble, this movie has an IMDb rating of 7.2/10 and a MetaScore of 57.0. With a runtime of 183 minutes, it is rated PG."
Occupied City,"Occupied City (2023) is a documentary film directed by Steve McQueen. Featuring Queen Máxima, of the, Netherlands King, and others, this movie has an IMDb rating of 6.5/10 and a MetaScore of 76.0. With a runtime of 266 minutes, it is rated PG-13."
Unsinkable,"Unsinkable (2024) is a drama film directed by Cody Hartman. Featuring Karen Allen, Fiona Dourif, Jayne Wisener, this movie has an IMDb rating of 6.8/10 and a MetaScore of 66.0. With a runtime of 100 minutes, it is rated PG."
Truth,"Truth (2015) is a biography film directed by James Vanderbilt. Featuring Cate Blanchett, Robert Redford, Dennis Quaid, this movie has an IMDb rating of 6.8/10 and a MetaScore of 66.0. With a runtime of 125 minutes, it is rated R."
Cry Freedom,"Cry Freedom (1987) is a biography film directed by Richard Attenborough. Featuring Donald Woods, John Briley, this movie has an IMDb rating of 7.4/10 and a MetaScore of 59.0. With a runtime of 157 minutes, it is rated PG."
The Innocents,"The Innocents (2016) is a drama film directed by Anne Fontaine. Featuring Sabrina, B., Karine Alice, and others, this movie has an IMDb rating of 7.3/10 and a MetaScore of 78.0. With a runtime of 115 minutes, it is rated PG-13."
Lonely Hearts,"Lonely Hearts (2006) is a biography film directed by Todd Robinson. Featuring John Travolta, Salma Hayek, Jared Leto, this movie has an IMDb rating of 6.4/10 and a MetaScore of 60.0. With a runtime of 108 minutes, it is rated R."
Experimenter,"Experimenter (2015) is a biography film directed by Michael Almereyda. Featuring Peter Sarsgaard, Winona Ryder, Jim Gaffigan, this movie has an IMDb rating of 6.6/10 and a MetaScore of 81.0. With a runtime of 98 minutes, it is rated PG-13."
One Night with the King,"One Night with the King (2006) is a biography film directed by Michael O. Sajbel. Featuring Tiffany Dupont, Luke Goss, John Noble, this movie has an IMDb rating of 6.0/10 and a MetaScore of 38.0. With a runtime of 123 minutes, it is rated PG."
Zulu Dawn,"Zulu Dawn (1979) is a adventure film directed by Douglas Hickox. Featuring Cy Endfield, Anthony Story, this movie has an IMDb rating of 6.6/10 and a MetaScore of 66.0. With a runtime of 98 minutes, it is rated PG."
Eiffel,"Eiffel (2021) is a biography film directed by Martin Bourboulon. Featuring Caroline Bongrand, Thomas Bidegain, Natalie Carter, this movie has an IMDb rating of 6.2/10 and a MetaScore of 52.0. With a runtime of 108 minutes, it is rated R."
Moonage Daydream,"Moonage Daydream (2022) is a documentary film directed by Brett Morgen. Featuring David Bowie, Trevor Bolder, Ken Fordham, this movie has an IMDb rating of 7.6/10 and a MetaScore of 83.0. With a runtime of 135 minutes, it is rated PG-13."
Little Ashes,"Little Ashes (2008) is a biography film directed by Paul Morrison. Featuring Robert Pattinson, Javier Beltrán, Matthew Mc, and others, this movie has an IMDb rating of 6.4/10 and a MetaScore of 41.0. With a runtime of 112 minutes, it is rated R."
Red Joan,"Red Joan (2018) is a biography film directed by Trevor Nunn. Featuring Judi Dench, Sophie Cookson, Stephen Campbell, and others, this movie has an IMDb rating of 6.4/10 and a MetaScore of 45.0. With a runtime of 101 minutes, it is rated R."
Apollo 11,"Apollo 11 (2019) is a documentary film directed by Todd Douglas Miller. Featuring Neil Armstrong, Mike Collins, Buzz Aldrin, this movie has an IMDb rating of 8.1/10 and a MetaScore of 88.0. With a runtime of 93 minutes, it is rated G."
Churchill,"Churchill (2017) is a biography film directed by Jonathan Teplitzky. Featuring Brian Cox, Miranda Richardson, John Slattery, this movie has an IMDb rating of 6.0/10 and a MetaScore of 44.0. With a runtime of 105 minutes, it is rated PG."
Goya's Ghosts,"Goya's Ghosts (2006) is a biography film directed by Milos Forman. Featuring Javier Bardem, Natalie Portman, Stellan Skarsgard, this movie has an IMDb rating of 6.9/10 and a MetaScore of 52.0. With a runtime of 113 minutes, it is rated R."
Benediction,"Benediction (2021) is a biography film directed by Terence Davies. Featuring Jack Lowden, Thom Ashley, Orlando Jopling, this movie has an IMDb rating of 6.6/10 and a MetaScore of 81.0. With a runtime of 137 minutes, it is rated PG-13."
Matewan,"Matewan (1987) is a drama film directed by John Sayles. Featuring Chris Cooper, James Earl, Jones Mary, and others, this movie has an IMDb rating of 7.9/10 and a MetaScore of 73.0. With a runtime of 135 minutes, it is rated PG-13."
Restrepo,"Restrepo (2010) is a documentary film directed by Tim Hetherington. Featuring The Men, of Battle, Company 2nd, and others, this movie has an IMDb rating of 7.4/10 and a MetaScore of 85.0. With a runtime of 93 minutes, it is rated R."
Once Upon a Time in China,"Once Upon a Time in China (1991) is a action film directed by Hark Tsui. Featuring Hark Tsui, Kai-Chi Yuen, Yiu-Ming Leung, this movie has an IMDb rating of 7.2/10 and a MetaScore of 66.0. With a runtime of 134 minutes, it is rated R."
Stone of Destiny,"Stone of Destiny (2008) is a adventure film directed by Charles Martin Smith. Featuring Charlie Cox, Kate Mara, Stephen Mc, and others, this movie has an IMDb rating of 6.7/10 and a MetaScore of 66.0. With a runtime of 96 minutes, it is rated PG."
Becket,"Becket (1964) is a biography film directed by Peter Glenville. Featuring Richard Burton, Peter, O'Toole John, and others, this movie has an IMDb rating of 7.8/10 and a MetaScore of 68.0. With a runtime of 148 minutes, it is rated PG-13."
Joyeux Noel,"Joyeux Noel (2005) is a drama film directed by Christian Carion. Featuring Diane Kruger, Benno Fürmann, Guillaume Canet, this movie has an IMDb rating of 7.7/10 and a MetaScore of 70.0. With a runtime of 116 minutes, it is rated PG-13."
Bent,"Bent (1997) is a drama film directed by Sean Mathias. Featuring Martin Sherman, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.0. With a runtime of 105 minutes, it is rated NC-17."
LBJ,"LBJ (2016) is a biography film directed by Rob Reiner. Featuring Woody Harrelson, Michael, Stahl-David Richard, and others, this movie has an IMDb rating of 6.5/10 and a MetaScore of 54.0. With a runtime of 98 minutes, it is rated R."
Sunshine,"Sunshine (1999) is a drama film directed by István Szabó. Featuring István SzabóIsrael, Horovitz, this movie has an IMDb rating of 7.5/10 and a MetaScore of 71.0. With a runtime of 181 minutes, it is rated R."
Mrs. Brown,"Mrs. Brown (1997) is a biography film directed by John Madden. Featuring Judi Dench, Billy Connolly, Geoffrey Palmer, this movie has an IMDb rating of 7.2/10 and a MetaScore of 71.0. With a runtime of 101 minutes, it is rated PG."
Shock and Awe,"Shock and Awe (2017) is a biography film directed by Rob Reiner. Featuring Woody Harrelson, James Marsden, Rob Reiner, this movie has an IMDb rating of 6.4/10 and a MetaScore of 47.0. With a runtime of 90 minutes, it is rated R."
Operation Daybreak,"Operation Daybreak (1975) is a drama film directed by Lewis Gilbert. Featuring Timothy Bottoms, Martin Shaw, Joss Ackland, this movie has an IMDb rating of 7.0/10 and a MetaScore of 66.0. With a runtime of 118 minutes, it is rated PG."
Cyrano de Bergerac,"Cyrano de Bergerac (1990) is a comedy film directed by Jean-Paul Rappeneau. Featuring Gérard Depardieu, Anne Brochet, Vincent Perez, this movie has an IMDb rating of 7.5/10 and a MetaScore of 79.0. With a runtime of 137 minutes, it is rated PG."
Kundun,"Kundun (1997) is a biography film directed by Martin Scorsese. Featuring Tenzin Thuthob, Tsarong Gyurme, Tethong Tulku, and others, this movie has an IMDb rating of 7.0/10 and a MetaScore of 74.0. With a runtime of 134 minutes, it is rated PG-13."
Cheyenne Autumn,"Cheyenne Autumn (1964) is a drama film directed by John Ford. Featuring Richard Widmark, Carroll Baker, Karl Malden, this movie has an IMDb rating of 6.7/10 and a MetaScore of 66.0. With a runtime of 154 minutes, it is rated Approved."
